Date,Open,High,Low,Close,Volume,t_point
20-01-2021 10:00,34745,34745,34645.9375,34645.9375,11139,0
20-01-2021 11:00,34639,34639,34261,34372,12044,0
20-01-2021 12:00,34370,34729.00781,34370,34729.00781,12698,0
20-01-2021 13:00,34709.91406,34963.83203,34709.91406,34963.83203,12963,0
20-01-2021 14:00,34965.54297,35138,34848,34848,13202,0
20-01-2021 15:00,34867,34867,34210,34210,13490,1
20-01-2021 16:00,34199,34716,33447,34716,14453,0
20-01-2021 17:00,34700,34851,34700,34851,14663,0
20-01-2021 18:00,34847.62891,35200,34847.62891,35200,14573,0
20-01-2021 19:00,35189.35547,35193,35116,35193,14216,0
20-01-2021 20:00,35168.09375,35168.09375,34979,34979,14306,0
20-01-2021 21:00,34967,34967,34926,34926,14276,0
20-01-2021 22:00,34926,35022.16797,34926,35018,14330,0
20-01-2021 23:00,35013,35521.08203,35013,35521.08203,14139,0
21-01-2021 00:00,35522,35522,35345,35345,13882,0
21-01-2021 01:00,35338,35338,34835,34835,13982,0
21-01-2021 02:00,34821,34821,34625,34625,13734,0
21-01-2021 03:00,34626,34732,34620,34620,12964,0
21-01-2021 04:00,34619.76172,34619.76172,34293,34293,11733,0
21-01-2021 05:00,34266,34574,34266,34574,11590,0
21-01-2021 06:00,34609,34715,34609,34715,11450,0
21-01-2021 07:00,34691,34749,34666,34666,11351,0
21-01-2021 08:00,34659,34659,33288,33288,12235,0
21-01-2021 09:00,33254,33254,32729,32943,13946,0
21-01-2021 10:00,32891.11719,32891.11719,32814,32814,14113,0
21-01-2021 11:00,32776,32949,32222,32222,13579,0
21-01-2021 12:00,32157,32533,32157,32533,14775,0
21-01-2021 13:00,32523,32523,32337.18555,32337.18555,15026,0
21-01-2021 14:00,32281,32281,31203,31203,17592,0
21-01-2021 15:00,31095,31399,31095,31399,18052,0
21-01-2021 16:00,31390,31390,31060,31060,17394,1
21-01-2021 17:00,31045,31935,31045,31935,18215,0
21-01-2021 18:00,31932.3125,31932.3125,31782,31782,18340,0
21-01-2021 19:00,31782,32510,31738,32510,18619,0
21-01-2021 20:00,32502,32502,31891.42383,31891.42383,18734,0
21-01-2021 21:00,31896,31896,31258,31258,19030,0
21-01-2021 22:00,31240,31240,30609,30897.16797,21547,0
21-01-2021 23:00,30934,31244,30873,30873,22347,0
22-01-2021 00:00,30852,30852,29560.07422,29560.07422,24981,1
22-01-2021 01:00,29535,30162,28991,30162,26337,0
22-01-2021 02:00,30183,30756.28711,30183,30756.28711,26743,0
22-01-2021 03:00,30737,30958.14258,30737,30958.14258,26829,0
22-01-2021 04:00,30953,31204.98438,30920,30920,27312,0
22-01-2021 05:00,30904,31856,30904,31756,27710,0
22-01-2021 06:00,31823,31823,31535,31535,27964,0
22-01-2021 07:00,31528.41602,31528.41602,30816,30816,28308,1
22-01-2021 08:00,30829.7207,31523,30829.7207,31523,28107,0
22-01-2021 09:00,31531.5625,31620,31428,31428,26352,0
22-01-2021 10:00,31450,31450,31202,31409,25440,0
22-01-2021 11:00,31401.47461,31772,31401.47461,31772,25197,0
22-01-2021 12:00,31776.72656,31776.72656,31571,31571,23294,0
22-01-2021 13:00,31591,32322.80273,31591,32195,23148,0
22-01-2021 14:00,32237,32510,32237,32510,20650,0
22-01-2021 15:00,32543.78516,32543.78516,32487,32487,20139,0
22-01-2021 16:00,32487,32487,32433,32433,19513,0
22-01-2021 17:00,32432,32432,32362,32362,18640,0
22-01-2021 18:00,32362,33311,32362,33311,18885,0
22-01-2021 19:00,33311,33655,33311,33655,18923,0
22-01-2021 20:00,33655,33655,33504,33624,18918,0
22-01-2021 21:00,33589,33631,33375,33375,18636,0
22-01-2021 22:00,33375,33375,32920,32920,16324,0
22-01-2021 23:00,32905.77344,33088.35156,32905.77344,33062,15720,0
23-01-2021 00:00,33062,33062,32759,32787,13315,0
23-01-2021 01:00,32787,32792,32787,32792,12288,0
23-01-2021 02:00,32788,32788,32245,32322,11988,1
23-01-2021 03:00,32322,32473,32322,32465,11852,0
23-01-2021 04:00,32465,32668,32465,32668,11540,0
23-01-2021 05:00,32668,33473,32577.45508,33473,11276,0
23-01-2021 06:00,33473,33473,32940,32940,11317,0
23-01-2021 07:00,32943,33034,32943,33034,10894,0
23-01-2021 08:00,33034,33034,32914,33031,10265,0
23-01-2021 09:00,33031,33031,32539,32539,10123,0
23-01-2021 10:00,32539,32539,32412,32412,9777,0
